2011-09-10 09:57:26 Notice: Notice (8): Undefined property: ClientesController::$Persona in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 13]
2011-09-10 09:57:40 Notice: Notice (8): Trying to get property of non-object in [/var/www/cake_primero/app/views/clientes/index.ctp, line 10]
2011-09-10 09:58:28 Notice: Notice (8): Undefined index:  nombre in [/var/www/cake_primero/app/views/clientes/index.ctp, line 10]
2011-09-10 09:58:54 Notice: Notice (8): Use of undefined constant nombre - assumed 'nombre' in [/var/www/cake_primero/app/views/clientes/index.ctp, line 10]
2011-09-10 09:58:54 Notice: Notice (8): Undefined index:  nombre in [/var/www/cake_primero/app/views/clientes/index.ctp, line 10]
2011-09-10 10:03:15 Notice: Notice (8): Undefined index:  nombre in [/var/www/cake_primero/app/views/clientes/index.ctp, line 10]
2011-09-10 10:09:41 Notice: Notice (8): Undefined index:  nombre in [/var/www/cake_primero/app/views/clientes/index.ctp, line 11]
2011-09-10 10:10:22 Notice: Notice (8): Trying to get property of non-object in [/var/www/cake_primero/app/views/clientes/index.ctp, line 11]
2011-09-11 12:38:32 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 12:39:39 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 12:40:06 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 12:41:16 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 12:41:16 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 16:04:30 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 24]
2011-09-11 16:04:30 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 16:06:12 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 24]
2011-09-11 16:06:12 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 16:10:47 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 24]
2011-09-11 16:10:47 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 16:12:06 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 16:12:06 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 16:18:01 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 16:18:01 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 18:35:51 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 18:35:51 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 18:38:49 Notice: Notice (8): Undefined index:  ClienteAddForm in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 22]
2011-09-11 18:44:56 Notice: Notice (8): Undefined variable: clientela in [/var/www/cake_primero/app/views/clientes/index.ctp, line 9]
2011-09-11 18:49:14 Notice: Notice (8): Undefined property: ClientesController::$Receta in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 24]
2011-09-11 19:43:57 Notice: Notice (8): Undefined offset:  0 in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 45]
2011-09-11 19:47:08 Notice: Notice (8): Undefined index:  0 in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 46]
2011-09-11 19:51:14 Notice: Notice (8): Undefined index:  0 in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 46]
2011-09-11 19:52:03 Notice: Notice (8): Undefined index:  0 in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 46]
2011-09-11 19:53:56 Notice: Notice (8): Undefined index:  0 in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 46]
2011-09-11 19:54:27 Notice: Notice (8): Undefined index:  0 in [/var/www/cake_primero/app/controllers/clientes_controller.php, line 46]
