2011-12-21 20:02:38 Warning: Warning (2): fopen(/var/www/cake_primero/app/tmp/cache/persistent/cake_core_default_es) [<a href='http://php.net/function.fopen'>function.fopen</a>]: failed to open stream: Permission denied in [/var/www/cake_primero/cake/libs/file.php, line 152]
2011-12-21 20:02:38 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-21 20:12:40 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Socio.creditcard_id' in 'on clause'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-22 19:52:27 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/config/core.php:1) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-22 19:52:40 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/config/core.php:1) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 17:13:33 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Sala.estado' in 'where clause'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-25 17:13:33 Warning: Warning (2): Invalid argument supplied for foreach() in [/var/www/cake_primero/app/views/salas/index.ctp, line 18]
2011-12-25 17:17:32 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Director.estado' in 'where clause'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-25 17:17:32 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Director.name' in 'field list'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-25 17:17:32 Warning: Warning (2): Invalid argument supplied for foreach() in [/var/www/cake_primero/app/views/directors/index.ctp, line 13]
2011-12-25 19:46:10 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.estado' in 'where clause'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-25 19:46:10 Warning: Warning (2): Invalid argument supplied for foreach() in [/var/www/cake_primero/app/views/users/index.ctp, line 19]
2011-12-25 23:13:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:21) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:24:33 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:27:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:28:12 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:28:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:39:07 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:40:56 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:43:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:49:59 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:57:08 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-25 23:57:55 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 00:01:39 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/app/controllers/actors_controller.php:22) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:03:17 Warning: Warning (2): move_uploaded_file(/var/www/cake_primero/app/webroot/img/imgPelis/Pantallazo.png) [<a href='http://php.net/function.move-uploaded-file'>function.move-uploaded-file</a>]: failed to open stream: Permission denied in [/var/www/cake_primero/app/controllers/actors_controller.php, line 33]
2011-12-26 01:03:17 Warning: Warning (2): move_uploaded_file() [<a href='http://php.net/function.move-uploaded-file'>function.move-uploaded-file</a>]: Unable to move '/tmp/php6HeHqV' to '/var/www/cake_primero/app/webroot/img/imgPelis/Pantallazo.png' in [/var/www/cake_primero/app/controllers/actors_controller.php, line 33]
2011-12-26 01:03:17 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:32:11 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:34:16 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:36:51 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:39:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:45:03 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column '1324871103casaMuda.jpg' in 'field list'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 01:45:03 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:59:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 02:09:35 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ipsum dolor sit amet, consectetur adipiscing elit. Curabitur semper rhoncus lacu' at line 1</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 02:09:35 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 02:21:58 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
